iter	Passed	Remaining
0	0	98
1	1	88
2	2	83
3	3	76
4	4	77
5	4	77
6	6	88
7	7	85
8	8	86
9	9	87
10	10	83
11	10	79
12	11	77
13	12	74
14	12	72
15	13	70
16	14	68
17	14	67
18	15	65
19	15	63
20	17	65
21	18	64
22	18	62
23	19	61
24	20	61
25	20	59
26	21	58
27	22	57
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	28	45
39	29	44
40	29	43
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	43	26
62	44	26
63	45	25
64	46	24
65	47	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
