iter	Passed	Remaining
0	0	508
1	0	409
2	1	373
3	1	355
4	1	338
5	1	329
6	2	326
7	2	322
8	2	318
9	3	317
10	3	316
11	3	311
12	4	306
13	4	305
14	4	302
15	4	302
16	5	299
17	5	296
18	5	292
19	5	290
20	6	289
21	6	287
22	6	286
23	6	284
24	7	284
25	7	283
26	7	281
27	8	280
28	8	279
29	8	276
30	8	275
31	9	273
32	9	273
33	9	272
34	9	271
35	10	269
36	10	274
37	10	273
38	11	274
39	11	277
40	11	277
41	12	276
42	12	275
43	12	275
44	12	275
45	13	275
46	13	275
47	14	279
48	14	278
49	14	278
50	14	278
51	15	278
52	15	277
53	15	277
54	16	277
55	16	277
56	16	277
57	17	278
58	17	277
59	17	277
60	18	277
61	18	276
62	18	276
63	18	275
64	19	275
65	19	274
66	19	275
67	20	275
68	20	273
69	20	274
70	20	274
71	21	273
72	21	272
73	21	272
74	21	270
75	22	270
76	22	271
77	22	271
78	23	272
79	23	271
80	23	272
81	24	271
82	24	271
83	24	271
84	25	272
85	25	273
86	26	274
87	26	275
88	26	276
89	27	277
90	27	277
91	28	277
92	28	276
93	28	275
94	28	274
95	29	274
96	29	273
97	29	273
98	29	272
99	30	272
100	30	271
101	30	270
102	30	269
103	31	268
104	31	267
105	31	266
106	31	265
107	32	264
108	32	264
109	32	262
110	32	262
111	32	261
112	33	260
113	33	260
114	33	260
115	34	259
116	34	259
117	34	259
118	34	258
119	35	258
120	35	256
121	35	256
122	35	255
123	36	255
124	36	255
125	36	255
126	37	255
127	37	254
128	37	254
129	37	253
130	38	253
131	38	253
132	38	253
133	39	253
134	39	253
135	39	253
136	40	253
137	40	252
138	40	253
139	41	253
140	41	252
141	41	252
142	42	251
143	42	252
144	42	252
145	43	253
146	43	253
147	43	252
148	44	252
149	44	251
150	44	251
151	44	250
152	45	249
153	45	249
154	45	248
155	45	247
156	46	247
157	46	246
158	46	246
159	46	245
160	47	245
161	47	245
162	47	245
163	48	245
164	48	245
165	48	245
166	49	245
167	49	245
168	49	245
169	50	245
170	50	245
171	50	245
172	51	244
173	51	244
174	51	244
175	52	244
176	52	244
177	52	244
